"","X","Pollster","Dates","start_date","end_date","observations","sample_subpopulation","McCain","Obama2008","Barr","Nader","Other","Undecided","Margin","Year","State","EndDaysUntil","StartDaysUntil","MidDaysUntil","Dem2P","Rep2P","DemVote","RepVote","VoteErrorAbs","McKinney","NV","Refuse","Not.Voting","Paul","survey_house","ActualMargin","PollMargin","Romney","Obama2012","poll_slug","question_text","margin_of_error","mode","partisanship","partisan_affiliation","None","Refused","Trump","Clinton","Johnson","McMullin","MidDaysFactor","competitive","MarginError","MarginErrorAbs","VoteError","PVRepVote","PVDemVote","PVMargin"
"3169",3169,NA,NA,"10/17/2016","11/6/2016",857,"Likely Voters",NA,NA,NA,NA,NA,"11",NA,2016,"AZ",2,22,12,0.472,0.528,0.454,0.546,1.8,NA,NA,NA,NA,NA,"Ipsos/Reuters",-4,-5,NA,NA,"ipsos-reuters-26806",1,NA,"Internet","Nonpartisan","None",NA,NA,47,42,NA,NA,"2 Weeks to Go","competitive",1,1,-0.018,0.546133802237032,0.453866197762968,-0.0906476622417532
"3170",3170,NA,NA,"10/29/2016","11/4/2016",2154,"Likely Voters",NA,NA,NA,NA,"3","2",NA,2016,"AZ",4,10,7,0.506,0.494,0.454,0.546,5.2,NA,NA,NA,NA,NA,"SurveyMonkey",-4,1,NA,NA,"surveymonkey-26731",1,NA,"Internet","Nonpartisan","None",NA,NA,43,44,7,NA,"Last week","competitive",-5,5,-0.052,0.546133802237032,0.453866197762968,-0.0906476622417532
"3171",3171,NA,NA,"10/28/2016","11/3/2016",1748,"Likely Voters",NA,NA,NA,NA,"3","2",NA,2016,"AZ",5,11,8,0.506,0.494,0.454,0.546,5.2,NA,NA,NA,NA,NA,"SurveyMonkey",-4,1,NA,NA,"surveymonkey-26694",1,NA,"Internet","Nonpartisan","None",NA,NA,43,44,8,NA,"2 Weeks to Go","competitive",-5,5,-0.052,0.546133802237032,0.453866197762968,-0.0906476622417532
"3172",3172,NA,NA,"10/14/2016","11/3/2016",504,"Likely Voters",NA,NA,NA,NA,NA,"10",NA,2016,"AZ",5,25,15,0.467,0.533,0.454,0.546,1.3,NA,NA,NA,NA,NA,"Ipsos/Reuters",-4,-6,NA,NA,"ipsos-reuters-26743",1,NA,"Internet","Nonpartisan","None",NA,NA,48,42,NA,NA,"3 Weeks to Go","competitive",2,2,-0.013,0.546133802237032,0.453866197762968,-0.0906476622417532
"3173",3173,NA,NA,"11/1/2016","11/2/2016",550,"Likely Voters",NA,NA,NA,NA,"4","7",NA,2016,"AZ",6,7,6.5,0.453,0.547,0.454,0.546,0.1,NA,NA,NA,NA,NA,"Data Orbital (R)",-4,-8,NA,NA,"data-orbital-r-26711",1,4.12,"Live Phone","Pollster","Rep",NA,NA,47,39,4,NA,"Last week","competitive",4,4,0.001,0.546133802237032,0.453866197762968,-0.0906476622417532
"3174",3174,NA,NA,"10/27/2016","11/2/2016",1461,"Likely Voters",NA,NA,NA,NA,"3","3",NA,2016,"AZ",6,12,9,0.5,0.5,0.454,0.546,4.6,NA,NA,NA,NA,NA,"SurveyMonkey",-4,0,NA,NA,"surveymonkey-26660",1,NA,"Internet","Nonpartisan","None",NA,NA,43,43,8,NA,"2 Weeks to Go","competitive",-4,4,-0.046,0.546133802237032,0.453866197762968,-0.0906476622417532
"3175",3175,NA,NA,"10/30/2016","11/1/2016",719,"Likely Voters",NA,NA,NA,NA,"12","2",NA,2016,"AZ",7,9,8,0.471,0.529,0.454,0.546,1.7,NA,NA,NA,NA,NA,"NBC/WSJ/Marist",-4,-5,NA,NA,"nbc-wsj-marist-26682",3,3.7,"Live Phone","Nonpartisan","None",NA,NA,46,41,NA,NA,"2 Weeks to Go","competitive",1,1,-0.017,0.546133802237032,0.453866197762968,-0.0906476622417532
"3176",3176,NA,NA,"10/30/2016","11/1/2016",719,"Likely Voters",NA,NA,NA,NA,"5","1",NA,2016,"AZ",7,9,8,0.471,0.529,0.454,0.546,1.7,NA,NA,NA,NA,NA,"NBC/WSJ/Marist",-4,-5,NA,NA,"nbc-wsj-marist-26682",3,3.7,"Live Phone","Nonpartisan","None",NA,NA,45,40,9,NA,"2 Weeks to Go","competitive",1,1,-0.017,0.546133802237032,0.453866197762968,-0.0906476622417532
"3177",3177,NA,NA,"10/28/2016","11/1/2016",1113,"Likely Voters",NA,NA,NA,NA,"3","6",NA,2016,"AZ",7,11,9,0.494,0.506,0.454,0.546,4,NA,NA,NA,NA,NA,"Lucid/The Times-Picayune",-4,-1,NA,NA,"lucid-the-times-picayune-26645",1,NA,"Internet","Nonpartisan","None",NA,NA,42,41,8,NA,"2 Weeks to Go","competitive",-3,3,-0.04,0.546133802237032,0.453866197762968,-0.0906476622417532
"3178",3178,NA,NA,"10/27/2016","11/1/2016",769,"Likely Voters",NA,NA,NA,NA,"1","0",NA,2016,"AZ",7,12,9.5,0.473,0.527,0.454,0.546,1.9,NA,NA,NA,NA,NA,"CNN",-4,-5,NA,NA,"cnn-26620",9,3.5,"Live Phone","Nonpartisan","None",NA,NA,49,44,5,NA,"2 Weeks to Go","competitive",1,1,-0.019,0.546133802237032,0.453866197762968,-0.0906476622417532
"3179",3179,NA,NA,"10/27/2016","11/1/2016",769,"Likely Voters",NA,NA,NA,NA,"2","0",NA,2016,"AZ",7,12,9.5,0.474,0.526,0.454,0.546,2,NA,NA,NA,NA,NA,"CNN",-4,-5,NA,NA,"cnn-26620",7,3.5,"Live Phone","Nonpartisan","None",NA,NA,51,46,NA,NA,"2 Weeks to Go","competitive",1,1,-0.02,0.546133802237032,0.453866197762968,-0.0906476622417532
"3180",3180,NA,NA,"10/26/2016","11/1/2016",1320,"Likely Voters",NA,NA,NA,NA,"3","4",NA,2016,"AZ",7,13,10,0.494,0.506,0.454,0.546,4,NA,NA,NA,NA,NA,"SurveyMonkey",-4,-1,NA,NA,"surveymonkey-26619",1,NA,"Internet","Nonpartisan","None",NA,NA,43,42,8,NA,"2 Weeks to Go","competitive",-3,3,-0.04,0.546133802237032,0.453866197762968,-0.0906476622417532
"3181",3181,NA,NA,"10/29/2016","10/31/2016",2229,"Likely Voters",NA,NA,NA,NA,"4",NA,NA,2016,"AZ",8,10,9,0.506,0.494,0.454,0.546,5.2,NA,NA,NA,NA,NA,"Saguaro",-4,1,NA,NA,"saguaro-26651",1,3,"Internet","Nonpartisan","None",NA,NA,44,45,7,NA,"2 Weeks to Go","competitive",-5,5,-0.052,0.546133802237032,0.453866197762968,-0.0906476622417532
"3182",3182,NA,NA,"10/25/2016","10/31/2016",1457,"Likely Voters",NA,NA,NA,NA,"2","3",NA,2016,"AZ",8,14,11,0.494,0.506,0.454,0.546,4,NA,NA,NA,NA,NA,"SurveyMonkey",-4,-1,NA,NA,"surveymonkey-26596",1,NA,"Internet","Nonpartisan","None",NA,NA,44,43,8,NA,"2 Weeks to Go","competitive",-3,3,-0.04,0.546133802237032,0.453866197762968,-0.0906476622417532
"3183",3183,NA,NA,"10/29/2016","10/30/2016",550,"Likely Voters",NA,NA,NA,NA,"3","8",NA,2016,"AZ",9,10,9.5,0.477,0.523,0.454,0.546,2.3,NA,NA,NA,NA,NA,"Data Orbital (R)",-4,-4,NA,NA,"data-orbital-r-26599",1,4.12,"Live Phone","Pollster","Rep",NA,NA,45,41,3,NA,"2 Weeks to Go","competitive",0,0,-0.023,0.546133802237032,0.453866197762968,-0.0906476622417532
"3184",3184,NA,NA,"10/24/2016","10/30/2016",1342,"Likely Voters",NA,NA,NA,NA,"3","3",NA,2016,"AZ",9,15,12,0.5,0.5,0.454,0.546,4.6,NA,NA,NA,NA,NA,"SurveyMonkey",-4,0,NA,NA,"surveymonkey-26572",1,NA,"Internet","Nonpartisan","None",NA,NA,43,43,8,NA,"2 Weeks to Go","competitive",-4,4,-0.046,0.546133802237032,0.453866197762968,-0.0906476622417532
"3185",3185,NA,NA,"10/23/2016","10/29/2016",373,"Likely Voters",NA,NA,NA,NA,"5",NA,NA,2016,"AZ",10,16,13,0.457,0.543,0.454,0.546,0.3,NA,NA,NA,NA,NA,"UPI/CVOTER",-4,-8,NA,NA,"upi-cvoter-26592",1,NA,"Internet","Nonpartisan","None",NA,NA,51,43,NA,NA,"2 Weeks to Go","competitive",4,4,-0.003,0.546133802237032,0.453866197762968,-0.0906476622417532
"3186",3186,NA,NA,"10/26/2016","10/28/2016",994,"Likely Voters",NA,NA,NA,NA,"9","5",NA,2016,"AZ",11,13,12,0.488,0.512,0.454,0.546,3.4,NA,NA,NA,NA,NA,"CBS/YouGov",-4,-2,NA,NA,"cbs-yougov-26549",1,4.3,"Internet","Nonpartisan","None",NA,NA,44,42,NA,NA,"2 Weeks to Go","competitive",-2,2,-0.034,0.546133802237032,0.453866197762968,-0.0906476622417532
"3187",3187,NA,NA,"10/20/2016","10/28/2016",1747,"Likely Voters",NA,NA,NA,NA,"3","3",NA,2016,"AZ",11,19,15,0.494,0.506,0.454,0.546,4,NA,NA,NA,NA,NA,"SurveyMonkey",-4,-1,NA,NA,"surveymonkey-26537",1,NA,"Internet","Nonpartisan","None",NA,NA,43,42,9,NA,"3 Weeks to Go","competitive",-3,3,-0.04,0.546133802237032,0.453866197762968,-0.0906476622417532
"3188",3188,NA,NA,"10/26/2016","10/27/2016",550,"Likely Voters",NA,NA,NA,NA,"4","10",NA,2016,"AZ",12,13,12.5,0.488,0.512,0.454,0.546,3.4,NA,NA,NA,NA,NA,"Data Orbital (R)",-4,-2,NA,NA,"data-orbital-r-26536",1,4.12,"Live Phone","Pollster","Rep",NA,NA,42,40,5,NA,"2 Weeks to Go","competitive",-2,2,-0.034,0.546133802237032,0.453866197762968,-0.0906476622417532
"3189",3189,NA,NA,"10/7/2016","10/27/2016",954,"Likely Voters",NA,NA,NA,NA,NA,"15",NA,2016,"AZ",12,32,22,0.506,0.494,0.454,0.546,5.2,NA,NA,NA,NA,NA,"Ipsos/Reuters",-4,1,NA,NA,"ipsos-reuters-26585",1,NA,"Internet","Nonpartisan","None",NA,NA,42,43,NA,NA,"4 Weeks to Go","competitive",-5,5,-0.052,0.546133802237032,0.453866197762968,-0.0906476622417532
"3190",3190,NA,NA,"10/18/2016","10/26/2016",1752,"Likely Voters",NA,NA,NA,NA,"4","2",NA,2016,"AZ",13,21,17,0.494,0.506,0.454,0.546,4,NA,NA,NA,NA,NA,"SurveyMonkey",-4,-1,NA,NA,"surveymonkey-26499",1,NA,"Internet","Nonpartisan","None",NA,NA,43,42,10,NA,"3 Weeks to Go","competitive",-3,3,-0.04,0.546133802237032,0.453866197762968,-0.0906476622417532
"3191",3191,NA,NA,"10/22/2016","10/24/2016",2385,"Likely Voters",NA,NA,NA,NA,"1",NA,NA,2016,"AZ",15,17,16,0.511,0.489,0.454,0.546,5.7,NA,NA,NA,NA,NA,"Saguaro",-4,2,NA,NA,"saguaro-26523",1,3,"Internet","Nonpartisan","None",NA,NA,46,48,5,NA,"3 Weeks to Go","competitive",-6,6,-0.057,0.546133802237032,0.453866197762968,-0.0906476622417532
"3192",3192,NA,NA,"10/21/2016","10/24/2016",401,"Likely Voters",NA,NA,NA,NA,"3","3",NA,2016,"AZ",15,18,16.5,0.495,0.505,0.454,0.546,4.1,NA,NA,NA,NA,NA,"Monmouth University",-4,-1,NA,NA,"monmouth-university-26428",5,4.9,"Live Phone","Nonpartisan","None",NA,NA,46,45,4,NA,"3 Weeks to Go","competitive",-3,3,-0.041,0.546133802237032,0.453866197762968,-0.0906476622417532
"3193",3193,NA,NA,"10/18/2016","10/24/2016",1550,"Likely Voters",NA,NA,NA,NA,"4","2",NA,2016,"AZ",15,21,18,0.494,0.506,0.454,0.546,4,NA,NA,NA,NA,NA,"SurveyMonkey",-4,-1,NA,NA,"surveymonkey-26441",1,NA,"Internet","Nonpartisan","None",NA,NA,42,41,12,NA,"3 Weeks to Go","competitive",-3,3,-0.04,0.546133802237032,0.453866197762968,-0.0906476622417532
"3194",3194,NA,NA,"10/17/2016","10/23/2016",1291,"Likely Voters",NA,NA,NA,NA,"4","2",NA,2016,"AZ",16,22,19,0.494,0.506,0.454,0.546,4,NA,NA,NA,NA,NA,"SurveyMonkey",-4,-1,NA,NA,"surveymonkey-26431",1,NA,"Internet","Nonpartisan","None",NA,NA,41,40,13,NA,"3 Weeks to Go","competitive",-3,3,-0.04,0.546133802237032,0.453866197762968,-0.0906476622417532
"3195",3195,NA,NA,"10/16/2016","10/23/2016",363,"Likely Voters",NA,NA,NA,NA,"5",NA,NA,2016,"AZ",16,23,19.5,0.463,0.537,0.454,0.546,0.9,NA,NA,NA,NA,NA,"UPI/CVOTER",-4,-7,NA,NA,"upi-cvoter-26409",1,NA,"Internet","Nonpartisan","None",NA,NA,51,44,NA,NA,"3 Weeks to Go","competitive",3,3,-0.009,0.546133802237032,0.453866197762968,-0.0906476622417532
"3196",3196,NA,NA,"9/30/2016","10/20/2016",675,"Likely Voters",NA,NA,NA,NA,NA,"12",NA,2016,"AZ",19,39,29,0.489,0.511,0.454,0.546,3.5,NA,NA,NA,NA,NA,"Ipsos/Reuters",-4,-2,NA,NA,"ipsos-reuters-26407",1,NA,"Internet","Nonpartisan","None",NA,NA,45,43,NA,NA,"5 Weeks to Go","competitive",-2,2,-0.035,0.546133802237032,0.453866197762968,-0.0906476622417532
"3197",3197,NA,NA,"10/17/2016","10/18/2016",550,"Likely Voters",NA,NA,NA,NA,"3","10",NA,2016,"AZ",21,22,21.5,0.5,0.5,0.454,0.546,4.6,NA,NA,NA,NA,NA,"Data Orbital (R)",-4,0,NA,NA,"data-orbital-r-26340",1,4.12,"Live Phone","Pollster","Rep",NA,NA,41,41,5,NA,"4 Weeks to Go","competitive",-4,4,-0.046,0.546133802237032,0.453866197762968,-0.0906476622417532
"3198",3198,NA,NA,"10/6/2016","10/18/2016",1538,"Likely Voters",NA,NA,NA,NA,"8","9",NA,2016,"AZ",21,33,27,0.458,0.542,0.454,0.546,0.4,NA,NA,NA,NA,NA,"Ipsos/Reuters",-4,-7,NA,NA,"ipsos-reuters-26443",1,2.8,"Internet","Nonpartisan","None",NA,NA,45,38,NA,NA,"4 Weeks to Go","competitive",3,3,-0.004,0.546133802237032,0.453866197762968,-0.0906476622417532
"3199",3199,NA,NA,"10/6/2016","10/18/2016",1538,"Likely Voters",NA,NA,NA,NA,"4","6",NA,2016,"AZ",21,33,27,0.47,0.53,0.454,0.546,1.6,NA,NA,NA,NA,NA,"Ipsos/Reuters",-4,-5,NA,NA,"ipsos-reuters-26443",1,2.8,"Internet","Nonpartisan","None",NA,NA,44,39,6,NA,"4 Weeks to Go","competitive",1,1,-0.016,0.546133802237032,0.453866197762968,-0.0906476622417532
"3200",3200,NA,NA,"10/9/2016","10/16/2016",355,"Likely Voters",NA,NA,NA,NA,"6",NA,NA,2016,"AZ",23,30,26.5,0.463,0.537,0.454,0.546,0.9,NA,NA,NA,NA,NA,"UPI/CVOTER",-4,-7,NA,NA,"upi-cvoter-26290",1,NA,"Internet","Nonpartisan","None",NA,NA,51,44,NA,NA,"4 Weeks to Go","competitive",3,3,-0.009,0.546133802237032,0.453866197762968,-0.0906476622417532
"3201",3201,NA,NA,"10/8/2016","10/16/2016",1028,"Likely Voters",NA,NA,NA,NA,NA,"7",NA,2016,"AZ",23,31,27,0.495,0.505,0.454,0.546,4.1,NA,NA,NA,NA,NA,"WashPost/SurveyMonkey",-4,-1,NA,NA,"washpost-surveymonkey-26238",1,NA,"Internet","Nonpartisan","None",NA,NA,47,46,NA,NA,"4 Weeks to Go","competitive",-3,3,-0.041,0.546133802237032,0.453866197762968,-0.0906476622417532
"3202",3202,NA,NA,"10/8/2016","10/16/2016",1028,"Likely Voters",NA,NA,NA,NA,"3","2",NA,2016,"AZ",23,31,27,0.482,0.518,0.454,0.546,2.8,NA,NA,NA,NA,NA,"WashPost/SurveyMonkey",-4,-3,NA,NA,"washpost-surveymonkey-26238",1,NA,"Internet","Nonpartisan","None",NA,NA,44,41,10,NA,"4 Weeks to Go","competitive",-1,1,-0.028,0.546133802237032,0.453866197762968,-0.0906476622417532
"3203",3203,NA,NA,"10/10/2016","10/15/2016",713,"Likely Voters",NA,NA,NA,NA,"4","8",NA,2016,"AZ",24,29,26.5,0.531,0.469,0.454,0.546,7.7,NA,NA,NA,NA,NA,"Arizona Republic/Morrison/Cronkite News ",-4,5,NA,NA,"arizona-republic-morrison-cronkite-news-26264",1,NA,"Live Phone","Nonpartisan","None",NA,NA,38,43,7,NA,"4 Weeks to Go","competitive",-9,9,-0.077,0.546133802237032,0.453866197762968,-0.0906476622417532
"3204",3204,NA,NA,"10/14/2016","10/14/2016",400,"Likely Voters",NA,NA,NA,NA,"8","10",NA,2016,"AZ",25,25,25,0.513,0.487,0.454,0.546,5.9,NA,NA,NA,NA,NA,"HighGround",-4,2,NA,NA,"highground-26220",1,4.88,"Live Phone","Nonpartisan","None",NA,NA,37,39,8,NA,"4 Weeks to Go","competitive",-6,6,-0.059,0.546133802237032,0.453866197762968,-0.0906476622417532
"3205",3205,NA,NA,"9/23/2016","10/13/2016",1665,"Likely Voters",NA,NA,NA,NA,NA,"16",NA,2016,"AZ",26,46,36,0.464,0.536,0.454,0.546,1,NA,NA,NA,NA,NA,"Ipsos/Reuters",-4,-6,NA,NA,"ipsos-reuters-26344",1,NA,"Internet","Nonpartisan","None",NA,NA,45,39,NA,NA,"6 Weeks to Go","competitive",2,2,-0.01,0.546133802237032,0.453866197762968,-0.0906476622417532
"3206",3206,NA,NA,"10/11/2016","10/12/2016",550,"Likely Voters",NA,NA,NA,NA,NA,"10",NA,2016,"AZ",27,28,27.5,0.506,0.494,0.454,0.546,5.2,NA,NA,NA,NA,NA,"Data Orbital (R)",-4,1,NA,NA,"data-orbital-r-26205",1,4.12,"Live Phone","Pollster","Rep",NA,NA,42,43,5,NA,"4 Weeks to Go","competitive",-5,5,-0.052,0.546133802237032,0.453866197762968,-0.0906476622417532
"3207",3207,NA,NA,"10/2/2016","10/9/2016",358,"Likely Voters",NA,NA,NA,NA,"6",NA,NA,2016,"AZ",30,37,33.5,0.468,0.532,0.454,0.546,1.4,NA,NA,NA,NA,NA,"UPI/CVOTER",-4,-6,NA,NA,"upi-cvoter-26024",1,NA,"Internet","Nonpartisan","None",NA,NA,50,44,NA,NA,"5 Weeks to Go","competitive",2,2,-0.014,0.546133802237032,0.453866197762968,-0.0906476622417532
"3208",3208,NA,NA,"9/16/2016","10/6/2016",903,"Likely Voters",NA,NA,NA,NA,NA,"9",NA,2016,"AZ",33,53,43,0.462,0.538,0.454,0.546,0.8,NA,NA,NA,NA,NA,"Ipsos/Reuters",-4,-7,NA,NA,"ipsos-reuters-26098",1,NA,"Internet","Nonpartisan","None",NA,NA,49,42,NA,NA,"7 Weeks to Go","competitive",3,3,-0.008,0.546133802237032,0.453866197762968,-0.0906476622417532
"3209",3209,NA,NA,"9/19/2016","10/2/2016",556,"Likely Voters",NA,NA,NA,NA,"6",NA,NA,2016,"AZ",37,50,43.5,0.447,0.553,0.454,0.546,0.7,NA,NA,NA,NA,NA,"UPI/CVOTER",-4,-10,NA,NA,"upi-cvoter-25900",1,NA,"Internet","Nonpartisan","None",NA,NA,52,42,NA,NA,"7 Weeks to Go","competitive",6,6,0.007,0.546133802237032,0.453866197762968,-0.0906476622417532
"3210",3210,NA,NA,"9/28/2016","9/30/2016",718,"Likely Voters",NA,NA,NA,NA,"1","9",NA,2016,"AZ",39,41,40,0.5,0.5,0.454,0.546,4.6,NA,NA,NA,NA,NA,"OH Predictive Insights (R)",-4,0,NA,NA,"oh-predictive-insights-r-25986",1,3.66,"IVR/Live Phone","Pollster","Rep",NA,NA,42,42,5,NA,"6 Weeks to Go","competitive",-4,4,-0.046,0.546133802237032,0.453866197762968,-0.0906476622417532
"3211",3211,NA,NA,"9/9/2016","9/29/2016",802,"Likely Voters",NA,NA,NA,NA,NA,"10",NA,2016,"AZ",40,60,50,0.489,0.511,0.454,0.546,3.5,NA,NA,NA,NA,NA,"Ipsos/Reuters",-4,-2,NA,NA,"ipsos-reuters-25851",1,NA,"Internet","Nonpartisan","None",NA,NA,46,44,NA,NA,"8 Weeks to Go","competitive",-2,2,-0.035,0.546133802237032,0.453866197762968,-0.0906476622417532
"3212",3212,NA,NA,"9/12/2016","9/25/2016",554,"Likely Voters",NA,NA,NA,NA,"7",NA,NA,2016,"AZ",44,57,50.5,0.447,0.553,0.454,0.546,0.7,NA,NA,NA,NA,NA,"UPI/CVOTER",-4,-10,NA,NA,"upi-cvoter-25729",1,NA,"Internet","Nonpartisan","None",NA,NA,52,42,NA,NA,"8 Weeks to Go","competitive",6,6,0.007,0.546133802237032,0.453866197762968,-0.0906476622417532
"3213",3213,NA,NA,"9/20/2016","9/22/2016",550,"Likely Voters",NA,NA,NA,NA,NA,"14",NA,2016,"AZ",47,49,48,0.487,0.513,0.454,0.546,3.3,NA,NA,NA,NA,NA,"Data Orbital (R)",-4,-2,NA,NA,"data-orbital-r-25721",1,4.12,"Live Phone","Pollster","Rep",NA,NA,40,38,9,NA,"7 Weeks to Go","competitive",-2,2,-0.033,0.546133802237032,0.453866197762968,-0.0906476622417532
"3214",3214,NA,NA,"9/2/2016","9/22/2016",665,"Likely Voters",NA,NA,NA,NA,NA,"10",NA,2016,"AZ",47,67,57,0.467,0.533,0.454,0.546,1.3,NA,NA,NA,NA,NA,"Ipsos/Reuters",-4,-6,NA,NA,"ipsos-reuters-25679",1,NA,"Internet","Nonpartisan","None",NA,NA,48,42,NA,NA,"9 Weeks to Go","competitive",2,2,-0.013,0.546133802237032,0.453866197762968,-0.0906476622417532
"3215",3215,NA,NA,"8/26/2016","9/15/2016",711,"Likely Voters",NA,NA,NA,NA,NA,"15",NA,2016,"AZ",54,74,64,0.459,0.541,0.454,0.546,0.5,NA,NA,NA,NA,NA,"Ipsos/Reuters",-4,-7,NA,NA,"ipsos-reuters-25538",1,NA,"Internet","Nonpartisan","None",NA,NA,46,39,NA,NA,"10 Weeks to Go","competitive",3,3,-0.005,0.546133802237032,0.453866197762968,-0.0906476622417532
"3216",3216,NA,NA,"9/12/2016","9/14/2016",484,"Likely Voters",NA,NA,NA,NA,"3","19",NA,2016,"AZ",55,57,56,0.471,0.529,0.454,0.546,1.7,NA,NA,NA,NA,NA,"Insights West",-4,-4,NA,NA,"insights-west-25626",2,4.5,"Internet","Nonpartisan","None",NA,NA,37,33,8,NA,"8 Weeks to Go","competitive",0,0,-0.017,0.546133802237032,0.453866197762968,-0.0906476622417532
"3217",3217,NA,NA,"9/6/2016","9/8/2016",649,"Likely Voters",NA,NA,NA,NA,"12","4",NA,2016,"AZ",61,63,62,0.494,0.506,0.454,0.546,4,NA,NA,NA,NA,NA,"NBC/WSJ/Marist",-4,-1,NA,NA,"nbc-wsj-marist-25445",3,3.8,"Live Phone","Nonpartisan","None",NA,NA,42,41,NA,NA,"9 Weeks to Go","competitive",-3,3,-0.04,0.546133802237032,0.453866197762968,-0.0906476622417532
"3218",3218,NA,NA,"9/6/2016","9/8/2016",649,"Likely Voters",NA,NA,NA,NA,"4","6",NA,2016,"AZ",61,63,62,0.487,0.513,0.454,0.546,3.3,NA,NA,NA,NA,NA,"NBC/WSJ/Marist",-4,-2,NA,NA,"nbc-wsj-marist-25445",3,3.8,"Live Phone","Nonpartisan","None",NA,NA,40,38,12,NA,"9 Weeks to Go","competitive",-2,2,-0.033,0.546133802237032,0.453866197762968,-0.0906476622417532
"3219",3219,NA,NA,"8/9/2016","9/1/2016",2026,"Registered Voters",NA,NA,NA,NA,NA,"9",NA,2016,"AZ",68,91,79.5,0.505,0.495,0.454,0.546,5.1,NA,NA,NA,NA,NA,"WashPost/SurveyMonkey",-4,1,NA,NA,"washpost-surveymonkey-25351",1,NA,"Internet","Nonpartisan","None",NA,NA,45,46,NA,NA,"12 Weeks to Go","competitive",-5,5,-0.051,0.546133802237032,0.453866197762968,-0.0906476622417532
"3220",3220,NA,NA,"8/9/2016","9/1/2016",2026,"Registered Voters",NA,NA,NA,NA,"4","6",NA,2016,"AZ",68,91,79.5,0.487,0.513,0.454,0.546,3.3,NA,NA,NA,NA,NA,"WashPost/SurveyMonkey",-4,-2,NA,NA,"washpost-surveymonkey-25351",1,NA,"Internet","Nonpartisan","None",NA,NA,39,37,13,NA,"12 Weeks to Go","competitive",-2,2,-0.033,0.546133802237032,0.453866197762968,-0.0906476622417532
"3221",3221,NA,NA,"8/17/2016","8/31/2016",704,"Likely Voters",NA,NA,NA,NA,"2","23",NA,2016,"AZ",69,83,76,0.507,0.493,0.454,0.546,5.3,NA,NA,NA,NA,NA,"Arizona Republic/Morrison/Cronkite News ",-4,1,NA,NA,"arizona-republic-morrison-cronkite-news-26257",1,3.3,"Live Phone","Nonpartisan","None",NA,NA,34,35,7,NA,"11 Weeks to Go","competitive",-5,5,-0.053,0.546133802237032,0.453866197762968,-0.0906476622417532
"3222",3222,NA,NA,"8/26/2016","8/28/2016",837,"Likely Voters",NA,NA,NA,NA,NA,"11",NA,2016,"AZ",72,74,73,0.483,0.517,0.454,0.546,2.9,NA,NA,NA,NA,NA,"PPP (D-NELP) ",-4,-3,NA,NA,"ppp-d-nelp-25314",10,3.4,"IVR/Online","Sponsor","Dem",NA,NA,46,43,NA,NA,"11 Weeks to Go","competitive",-1,1,-0.029,0.546133802237032,0.453866197762968,-0.0906476622417532
"3223",3223,NA,NA,"8/25/2016","8/27/2016",728,"Likely Voters",NA,NA,NA,NA,"1","13",NA,2016,"AZ",73,75,74,0.506,0.494,0.454,0.546,5.2,NA,NA,NA,NA,NA,"OH Predictive Insights (R)",-4,1,NA,NA,"oh-predictive-insights-r-25280",1,3.63,"IVR/Live Phone","Pollster","Rep",NA,NA,39,40,7,NA,"11 Weeks to Go","competitive",-5,5,-0.052,0.546133802237032,0.453866197762968,-0.0906476622417532
"3224",3224,NA,NA,"8/18/2016","8/23/2016",809,"Likely Voters",NA,NA,NA,NA,"7","0",NA,2016,"AZ",77,82,79.5,0.473,0.527,0.454,0.546,1.9,NA,NA,NA,NA,NA,"CNN",-4,-5,NA,NA,"cnn-25252",8,3.5,"Live Phone","Nonpartisan","None",NA,NA,49,44,NA,NA,"12 Weeks to Go","competitive",1,1,-0.019,0.546133802237032,0.453866197762968,-0.0906476622417532
"3225",3225,NA,NA,"8/18/2016","8/23/2016",809,"Likely Voters",NA,NA,NA,NA,"6","0",NA,2016,"AZ",77,82,79.5,0.458,0.542,0.454,0.546,0.4,NA,NA,NA,NA,NA,"CNN",-4,-7,NA,NA,"cnn-25252",6,3.5,"Live Phone","Nonpartisan","None",NA,NA,45,38,12,NA,"12 Weeks to Go","competitive",3,3,-0.004,0.546133802237032,0.453866197762968,-0.0906476622417532
"3226",3226,NA,NA,"8/2/2016","8/5/2016",1095,"Likely Voters",NA,NA,NA,NA,"9","5",NA,2016,"AZ",95,98,96.5,0.488,0.512,0.454,0.546,3.4,NA,NA,NA,NA,NA,"CBS/YouGov",-4,-2,NA,NA,"cbs-yougov-25079",4,4.8,"Internet","Nonpartisan","None",NA,NA,44,42,NA,NA,"Summer","competitive",-2,2,-0.034,0.546133802237032,0.453866197762968,-0.0906476622417532
"3227",3227,NA,NA,"6/22/2016","6/23/2016",691,"Likely Voters",NA,NA,NA,NA,NA,"16",NA,2016,"AZ",138,139,138.5,0.476,0.524,0.454,0.546,2.2,NA,NA,NA,NA,NA,"PPP (D-Americans United for Change/Constitutional Responsibility Project) ",-4,-4,NA,NA,"ppp-d-americans-united-for-change-constitutional-responsibility-project-24785",1,3.7,"IVR/Online","Sponsor","Dem",NA,NA,44,40,NA,NA,"Summer","competitive",0,0,-0.022,0.546133802237032,0.453866197762968,-0.0906476622417532
